date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2021-09-02,315330.537753,48810.51,316412.5734,48978.0,313867.602818,48584.06,316143.114287,48936.29,2939.48757,2939.48757
2021-09-01,304285.879667,47100.89,317562.5068,49156.0,300481.4736,46512.0,315330.602356,48810.52,49904.65528,49904.65528
2021-08-31,303523.693473,46982.91,311684.344433,48246.11,301696.01,46700.0,304285.879667,47100.89,48645.52737,48645.52737
2021-08-30,315054.876752,48767.84,315835.087183,48888.61,302684.4359,46853.0,303523.693473,46982.91,40288.35083,40288.35083
2021-08-29,315878.629605,48895.35,320639.353881,49632.27,308560.337162,47762.54,315054.812149,48767.83,32652.283473,32652.283473
2021-08-28,317006.27497,49069.9,318486.3297,49299.0,312335.348864,48346.88,315878.629605,48895.35,26681.063786,26681.063786
2021-08-27,302625.388758,46843.86,317523.292779,49149.93,299421.9844,46348.0,317006.27497,49069.9,42068.104965,42068.104965
2021-08-26,316382.339196,48973.32,318834.152252,49352.84,298788.875,46250.0,302625.453361,46843.87,49371.277774,49371.277774
2021-08-25,307988.406803,47674.01,318262.15729,49264.3,304449.906684,47126.28,316382.339196,48973.32,44655.830342,44655.830342
2021-08-24,319712.817655,49488.85,322110.558,49860.0,307510.28,47600.0,307988.406803,47674.01,51014.594748,51014.594748
2021-08-23,318100.132966,49239.22,326245.15,50500.0,316742.0487,49029.0,319712.817655,49488.85,52462.541954,52462.541954
2021-08-22,315403.991364,48821.88,319784.85,49500.0,310417.415,48050.0,318100.132966,49239.22,37007.887795,37007.887795
2021-08-21,318637.952941,49322.47,321445.405512,49757.04,311528.5866,48222.0,315403.926761,48821.87,46745.136584,46745.136584
2021-08-20,302087.633386,46760.62,319028.930297,49382.99,301198.502297,46622.99,318637.952941,49322.47,56850.352228,56850.352228
2021-08-19,288771.340011,44699.37,303847.2899,47033.0,283786.12031,43927.7,302087.633386,46760.62,53411.75392,53411.75392
2021-08-18,288749.245785,44695.95,297173.8,46000.0,285566.449784,44203.28,288809.584987,44705.29,54099.415985,54099.415985
2021-08-17,296536.16839,45901.3,304667.748,47160.0,286682.2728,44376.0,288749.245785,44695.95,57039.341629,57039.341629
2021-08-16,303464.969346,46973.82,310442.157949,48053.83,294977.298,45660.0,296536.103787,45901.29,52480.574014,52480.574014
2021-08-15,304076.63055,47068.5,306039.075881,47372.27,293943.65,45500.0,303464.969346,46973.82,42110.711334,42110.711334
2021-08-14,308802.275397,47799.99,311024.6832,48144.0,296986.645109,45971.03,304076.695153,47068.51,46114.359022,46114.359022
2021-08-13,286837.707618,44400.06,309357.9258,47886.0,285657.604617,44217.39,308802.34,47800.0,48239.370431,48239.370431
2021-08-12,294012.581401,45510.67,298582.920636,46218.12,282767.331,43770.0,286830.8597,44399.0,55266.108781,55266.108781
2021-08-11,294492.7755,45585.0,301976.839241,46743.47,292917.366742,45341.14,294014.7133,45511.0,52734.901977,52734.901977
2021-08-10,298781.574861,46248.87,301696.01,46700.0,288061.288438,44589.46,294492.710897,45584.99,53814.643421,53814.643421
2021-08-09,282924.703908,43794.36,300107.745245,46454.15,276365.1737,42779.0,298810.84002,46253.4,74587.884845,74587.884845
2021-08-08,287951.980162,44572.54,292716.193,45310.0,279479.0383,43261.0,282924.768511,43794.37,69329.092698,69329.092698
2021-08-07,276739.031261,42836.87,288775.41,44700.0,274216.542523,42446.41,287951.980162,44572.54,73396.740808,73396.740808
2021-08-06,263983.750338,40862.46,280328.115529,43392.43,257467.891758,39853.86,276739.031261,42836.87,75753.941347,75753.941347
2021-08-05,256623.595151,39723.17,267133.405,41350.0,241180.44181,37332.7,263983.750338,40862.46,84343.755621,84343.755621
2021-08-04,246828.940512,38207.04,258215.994498,39969.66,242316.550168,37508.56,256623.659754,39723.18,52329.35243,52329.35243
2021-08-03,252900.459658,39146.86,256990.734,39780.0,243178.806409,37642.03,246829.005115,38207.05,57117.435853,57117.435853
2021-08-02,257444.699281,39850.27,261513.008603,40480.01,249949.007,38690.0,252906.661546,39147.82,50837.351954,50837.351954
2021-08-01,267855.924952,41461.84,275202.3197,42599.0,254678.011203,39422.01,257413.496032,39845.44,53953.186326,53953.186326
2021-07-31,272665.747508,42206.36,274226.8144,42448.0,264873.269045,41000.15,267855.860349,41461.83,44849.791012,44849.791012
2021-07-30,258531.450947,40018.49,273378.641613,42316.71,247514.959769,38313.23,272665.812111,42206.37,73602.784805,73602.784805
2021-07-29,258538.428071,40019.57,262546.592,40640.0,253243.76,39200.0,258518.465744,40016.48,53998.439283,53998.439283
2021-07-28,254901.537583,39456.61,264226.27,40900.0,250478.7516,38772.0,258538.363468,40019.56,101344.528441,101344.528441
2021-07-27,240590.164199,37241.33,255457.123383,39542.61,235045.0949,36383.0,254909.677561,39457.87,88397.267015,88397.267015
2021-07-26,228572.003506,35381.02,261965.165,40550.0,227439.900534,35205.78,240566.06728,37237.6,152452.512724,152452.512724
2021-07-25,221339.633053,34261.51,228681.6994,35398.0,218688.390536,33851.12,228572.003506,35381.02,47852.928313,47852.928313
2021-07-24,217286.37623,33634.1,222880.35,34500.0,215781.384742,33401.14,221317.861842,34258.14,47977.550138,47977.550138
2021-07-23,208587.453074,32287.58,217389.095,33650.0,206240.684496,31924.32,217286.311627,33634.09,50112.863626,50112.863626
2021-07-22,207663.177953,32144.51,210549.898405,32591.35,204843.1924,31708.0,208589.068149,32287.83,46148.092433,46148.092433
2021-07-21,192454.533502,29790.34,212272.5374,32858.0,190466.505383,29482.61,207663.177953,32144.51,82796.265128,82796.265128
2021-07-20,199233.390895,30839.65,200676.751121,31063.07,189144.6634,29278.0,192454.598105,29790.35,61034.049017,61034.049017
2021-07-19,205299.095771,31778.57,206077.1097,31899.0,196441.184632,30407.44,199233.390895,30839.65,47340.468499,47340.468499
2021-07-18,203629.108221,31520.07,209539.8305,32435.0,200973.278891,31108.97,205299.031168,31778.56,35923.716186,35923.716186
2021-07-17,202749.150758,31383.86,206444.829976,31955.92,201330.791893,31164.31,203629.108221,31520.07,34012.242132,34012.242132
2021-07-16,205918.767747,31874.49,208339.377554,32249.18,200398.506,31020.0,202749.215361,31383.87,48499.864154,48499.864154
2021-07-15,212027.239809,32820.03,214386.670575,33185.25,201128.5199,31133.0,205954.364,31880.0,51639.576353,51639.576353
2021-07-14,211439.933936,32729.12,213926.568009,33114.03,203822.465,31550.0,212027.175206,32820.02,46777.823484,46777.823484
2021-07-13,213751.558482,33086.94,215386.402,33340.0,208036.195675,32202.25,211444.133131,32729.77,41126.361008,41126.361008
2021-07-12,221323.4177,34259.0,224033.061329,34678.43,210982.673902,32658.34,213749.555789,33086.63,48181.403762,48181.403762
2021-07-11,216438.591061,33502.87,223952.7598,34666.0,215169.788141,33306.47,221323.353097,34258.99,31572.647448,31572.647448
2021-07-10,218460.277343,33815.81,221342.7986,34262.0,213220.780234,33004.78,216438.591061,33502.87,34761.175468,34761.175468
2021-07-09,212386.949313,32875.71,220296.23,34100.0,208416.190521,32261.07,218460.277343,33815.81,47153.939899,47153.939899
2021-07-08,218759.389233,33862.11,219195.653292,33929.64,207227.0431,32077.0,212386.949313,32875.71,70136.48032,70136.48032
2021-07-07,221071.595206,34220.02,226492.239127,35059.09,218214.527531,33777.77,218759.453836,33862.12,53807.521675,53807.521675
2021-07-06,217648.476045,33690.15,226878.500464,35118.88,216626.7796,33532.0,221071.530603,34220.01,58210.596349,58210.596349
2021-07-05,227971.906239,35288.13,228008.406934,35293.78,214000.990665,33125.55,217648.411442,33690.14,64123.874245,64123.874245
2021-07-04,223972.915936,34669.12,232363.101355,35967.85,221957.496145,34357.15,227961.440553,35286.51,43703.475789,43703.475789
2021-07-03,218271.184362,33786.54,225759.124283,34945.61,215236.070819,33316.73,223972.980539,34669.13,43044.578641,43044.578641
2021-07-02,216435.102499,33502.33,219501.871512,33977.04,211245.3497,32699.0,218271.248965,33786.55,56172.181378,56172.181378
2021-07-01,226401.2135,35045.0,226482.419471,35057.57,211322.8733,32711.0,216450.348807,33504.69,71708.266112,71708.266112
2021-06-30,232000.484716,35911.72,233216.83,36100.0,219763.578265,34017.55,226401.2135,35045.0,77152.197634,77152.197634
2021-06-29,222847.337867,34494.89,236446.98,36600.0,221106.545429,34225.43,232000.549319,35911.73,90788.79622,90788.79622
2021-06-28,224188.496147,34702.49,228033.795913,35297.71,218763.330016,33862.72,222847.337867,34494.89,82222.267819,82222.267819
2021-06-27,208562.064095,32283.65,224488.9647,34749.0,206558.079035,31973.45,224174.606502,34700.34,96613.244211,96613.244211
2021-06-26,203991.014227,31576.09,211445.619,32730.0,194784.5053,30151.0,208562.064095,32283.65,107820.375287,107820.375287
2021-06-25,223933.895724,34663.08,229340.65,35500.0,202045.8825,31275.0,204045.022335,31584.45,116061.130356,116061.130356
2021-06-24,217551.054721,33675.07,228035.6694,35298.0,208580.928171,32286.57,223933.960327,34663.09,86625.80426,86625.80426
2021-06-23,210021.510468,32509.56,225341.7243,34881.0,204681.6849,31683.0,217570.435621,33678.07,126966.100563,126966.100563
2021-06-22,204236.699436,31614.12,215120.108434,33298.78,186088.9415,28805.0,210021.510468,32509.56,204208.179762,204208.179762
2021-06-21,229987.778251,35600.17,230955.725,35750.0,201892.321169,31251.23,204203.170479,31608.93,168778.873159,168778.873159
2021-06-20,229235.476316,35483.72,233460.512516,36137.72,215360.5608,33336.0,229987.713648,35600.16,89878.17085,89878.17085
2021-06-19,231411.046944,35820.48,235523.1571,36457.0,224841.180256,34803.52,229235.476316,35483.72,68712.449461,68712.449461
2021-06-18,246092.014091,38092.97,246801.807252,38202.84,226945.752187,35129.29,231406.912352,35819.84,95228.042935,95228.042935
2021-06-17,247746.0447,38349.0,255568.692764,39559.88,241389.1095,37365.0,246092.014091,38092.97,79541.307119,79541.307119
2021-06-16,259340.99114,40143.8,261817.482542,40527.14,246240.859403,38116.01,247746.109303,38349.01,87771.976937,87771.976937
2021-06-15,261747.323684,40516.28,267004.199,41330.0,255223.19592,39506.4,259342.541612,40144.04,80679.622838,80679.622838
2021-06-14,252084.523768,39020.56,265286.082215,41064.05,250207.419,38730.0,261747.388287,40516.29,108522.391949,108522.391949
2021-06-13,229638.599036,35546.12,254406.614,39380.0,224540.6471,34757.0,252084.588371,39020.57,86921.025555,86921.025555
2021-06-12,241175.790394,37331.98,242026.288889,37463.63,223528.705708,34600.36,229638.534433,35546.11,87717.54999,87717.54999
2021-06-11,236949.785149,36677.83,243426.68812,37680.4,232162.315231,35936.77,241175.790394,37331.98,78466.0053,78466.0053
2021-06-10,241538.019415,37388.05,248663.4073,38491.0,231162.4546,35782.0,236936.153916,36675.72,109527.284943,109527.284943
2021-06-09,215649.98224,33380.8,242486.003837,37534.79,209293.176246,32396.82,241538.019415,37388.05,136607.597517,136607.597517
2021-06-08,216788.028688,33556.96,220089.565003,34068.01,200269.3,31000.0,215650.046843,33380.81,123251.189037,123251.189037
2021-06-07,231254.901493,35796.31,238385.07,36900.0,215127.99,33300.0,216761.089237,33552.79,77574.952573,77574.952573
2021-06-06,229444.467021,35516.07,235671.744,36480.0,227544.6866,35222.0,231254.901493,35796.31,47650.206637,47650.206637
2021-06-05,237927.357745,36829.15,245006.8775,37925.0,224818.44,34800.0,229425.92596,35513.2,70459.62149,70459.62149
2021-06-04,253545.972834,39246.78,253819.178921,39289.07,229696.935545,35555.15,237926.3887,36829.0,91317.799245,91317.799245
2021-06-03,242704.943404,37568.68,255026.8028,39476.0,240129.351,37170.0,253546.037437,39246.79,75889.106011,75889.106011
2021-06-02,237059.739455,36694.85,246944.9675,38225.0,232053.976,35920.0,242704.943404,37568.68,67587.372495,67587.372495
2021-06-01,240670.853346,37253.82,244811.841043,37894.81,230413.0598,35666.0,237048.369327,36693.09,81234.66377,81234.66377
2021-05-31,230253.231978,35641.26,242254.7897,37499.0,220644.052552,34153.84,240670.788743,37253.81,94160.735289,94160.735289
2021-05-30,223559.650545,34605.15,235723.4264,36488.0,215638.3537,33379.0,230253.296581,35641.27,73535.386967,73535.386967
2021-05-29,230385.861937,35661.79,241218.428374,37338.58,217277.719428,33632.76,223559.650545,34605.15,112663.092689,112663.092689
2021-05-28,248915.294397,38529.99,251162.445149,38877.83,224069.0452,34684.0,230396.844447,35663.49,135377.62972,135377.62972
2021-05-27,253514.575776,39241.92,261068.087742,40411.14,239898.524481,37134.27,248915.229794,38529.98,86547.158794,86547.158794
2021-05-26,247589.188616,38324.72,263845.1123,40841.0,244202.182532,37800.44,253514.511173,39241.91,104780.773396,104780.773396
2021-05-25,250730.638697,38810.99,257066.771731,39791.77,235281.671086,36419.62,247589.188616,38324.72,111996.228404,111996.228404
2021-05-24,224052.506832,34681.44,257895.176,39920.0,219850.4693,34031.0,250635.672287,38796.29,161630.893971,161630.893971
2021-05-23,241993.212153,37458.51,247239.815592,38270.64,200986.457903,31111.01,223883.311575,34655.25,217136.046593,217136.046593
2021-05-22,240732.420005,37263.35,250846.9887,38829.0,227406.565386,35200.62,241936.490719,37449.73,126542.243689,126542.243689
2021-05-21,261806.177017,40525.39,272624.66,42200.0,216342.5264,33488.0,240659.160203,37252.01,202100.888258,202100.888258
2021-05-20,236907.147169,36671.23,274250.523701,42451.67,225141.455,34850.0,261814.252392,40526.64,203017.596923,203017.596923
2021-05-19,276822.433734,42849.78,281571.52947,43584.9,193809.0,30000.0,237028.988427,36690.09,354347.243161,354347.243161
2021-05-18,281268.670606,43538.02,295877.153187,45799.29,272947.804206,42250.02,276822.433734,42849.78,116979.860784,116979.860784
2021-05-17,299931.249849,46426.83,301605.5658,46686.0,271339.0603,42001.0,281268.799812,43538.04,166657.172736,166657.172736
2021-05-16,302102.944297,46762.99,321696.388167,49795.89,283125.167017,43825.39,299961.41945,46431.5,114269.812775,114269.812775
2021-05-15,322008.226848,49844.16,327537.21,50700.0,300759.2665,46555.0,302102.944297,46762.99,89437.449359,89437.449359
2021-05-14,320895.504776,49671.92,332595.6249,51483.0,315261.024925,48799.75,321990.719435,49841.45,80082.204306,80082.204306
2021-05-13,320024.850145,49537.15,331847.457557,51367.19,297173.8,46000.0,320889.367491,49670.97,147332.002121,147332.002121
2021-05-12,366105.330206,56670.02,374697.464603,58000.01,313970.58,48600.0,320633.216596,49631.32,99842.789836,99842.789836
2021-05-11,360589.009242,55816.14,367348.356529,56862.43,351246.511,54370.0,366105.330206,56670.02,64329.54055,64329.54055
2021-05-10,376253.234049,58240.83,384387.85,59500.0,344980.02,53400.0,360589.009242,55816.14,89586.34925,89586.34925
2021-05-09,380295.443759,58866.53,383095.79,59300.0,363299.234298,56235.66,376253.298652,58240.84,69806.11991,69806.11991
2021-05-08,370275.260047,57315.49,384387.85,59500.0,367591.07,56900.0,380266.501615,58862.05,69709.906028,69709.906028
2021-05-07,364320.090904,56393.68,378896.595,58650.0,356877.502289,55241.63,370270.479425,57314.75,74542.747829,74542.747829
2021-05-06,371054.501433,57436.11,377023.108,58360.0,356608.56,55200.0,364320.090904,56393.68,70181.671908,70181.671908
2021-05-05,343720.584515,53205.05,375148.458146,58069.82,341749.87,52900.0,371054.501433,57436.11,77263.923439,77263.923439
2021-05-04,369331.410217,57169.39,369529.16,57200.0,342697.531407,53046.69,343688.024603,53200.01,85324.625903,85324.625903
2021-05-03,365512.210063,56578.21,381037.796832,58981.44,364587.0305,56435.0,369331.410217,57169.39,57649.931286,57649.931286
2021-05-02,373388.220205,57797.35,374122.562506,57911.02,362004.525575,56035.25,365512.210063,56578.21,36812.878863,36812.878863
2021-05-01,372741.544175,57697.25,377656.669621,58458.07,367953.751242,56956.14,373407.730311,57800.37,42600.351836,42600.351836
2021-04-30,345981.3665,53555.0,374458.3689,57963.0,342479.948503,53013.01,372722.292481,57694.27,68578.910045,68578.910045
2021-04-29,354323.099669,54846.23,356581.685152,55195.84,338073.571682,52330.94,345981.3665,53555.0,52486.019455,52486.019455
2021-04-28,355393.829791,55011.97,364541.8084,56428.0,347649.157548,53813.16,354323.035066,54846.22,55130.459015,55130.459015
2021-04-27,348865.115214,54001.38,358288.238,55460.0,343830.0866,53222.0,355393.829791,55011.97,54064.034675,54064.034675
2021-04-26,316985.989628,49066.76,351160.072186,54356.62,314961.848432,48753.44,348865.179817,54001.39,86310.802124,86310.802124
2021-04-25,323324.060752,50047.84,326683.868973,50567.91,303181.879,46930.0,316986.054231,49066.77,58255.645004,58255.645004
2021-04-24,330189.550768,51110.56,330549.131066,51166.22,314339.721542,48657.14,323324.060752,50047.84,55361.512573,55361.512573
2021-04-23,333939.044285,51690.95,336787.390555,52131.85,306864.25,47500.0,330283.741942,51125.14,132230.780719,132230.780719
2021-04-22,347484.161486,53787.62,358685.417244,55521.48,326245.15,50500.0,333939.108888,51690.96,104656.631337,104656.631337
2021-04-21,364522.4275,56425.0,366673.125973,56757.91,345858.750006,53536.02,347484.226089,53787.63,66984.756909,66984.756909
2021-04-20,359406.774342,55633.14,368729.633272,57076.24,344527.540588,53329.96,364522.4275,56425.0,72744.482151,72744.482151
2021-04-19,362745.909603,56150.01,371640.450643,57526.81,350287.673274,54221.58,359406.774342,55633.14,78229.042267,78229.042267
